# {'Language': 'English', 'Region': 'AG', 'Participant': 'AG040', 'Session': 'S1', 'Block': 'B1', 'date': '2023_Jan_27_1233', 'expName': 'FTRSGT_rTMS', 'frameRate': 59.95142722110437}
region,subj,block,trial,proberound,probetrial,time,stimulus,response
AG,AG040,B1,1,1,1,0.0002365997,stimulus,
AG,AG040,B1,1,1,1,0.3809417998,tap,rctrl
AG,AG040,B1,2,1,2,0.7501137005,stimulus,
AG,AG040,B1,2,1,2,0.8608921003,tap,rctrl
AG,AG040,B1,3,1,3,1.5001221001,stimulus,
AG,AG040,B1,3,1,3,1.5329715004,tap,lctrl
AG,AG040,B1,3,1,3,2.1569415005,tap,lctrl
AG,AG040,B1,4,1,4,2.2501335004,stimulus,
AG,AG040,B1,4,1,4,2.9889128003,tap,rctrl
AG,AG040,B1,5,1,5,3.0001405999,stimulus,
AG,AG040,B1,5,1,5,3.5329414997,tap,rctrl
AG,AG040,B1,6,1,6,3.7501694998,stimulus,
AG,AG040,B1,6,1,6,4.4929351006,tap,lctrl
AG,AG040,B1,7,1,7,4.5001728004,stimulus,
AG,AG040,B1,8,1,8,5.2501929998,stimulus,
AG,AG040,B1,8,1,8,5.2769454001,tap,lctrl
AG,AG040,B1,8,1,8,5.9969204003,tap,lctrl
AG,AG040,B1,9,1,9,6.0001942003,stimulus,
AG,AG040,B1,9,1,9,6.7169233002,tap,rctrl
AG,AG040,B1,10,1,10,6.7502081003,stimulus,
AG,AG040,B1,10,1,10,7.4849298997,tap,rctrl
AG,AG040,B1,11,1,11,7.5002172003,stimulus,
AG,AG040,B1,11,1,11,8.1729408000,tap,rctrl
AG,AG040,B1,12,1,12,8.2502346998,stimulus,
AG,AG040,B1,12,1,12,8.8769656001,tap,rctrl
AG,AG040,B1,13,1,13,9.0002573002,stimulus,
AG,AG040,B1,13,1,13,9.6449492006,tap,rctrl
AG,AG040,B1,14,1,14,9.7502696998,stimulus,
AG,AG040,B1,14,1,14,10.4130079998,tap,lctrl
AG,AG040,B1,15,1,15,10.5002870997,stimulus,
AG,AG040,B1,15,1,15,11.1329509001,tap,lctrl
AG,AG040,B1,16,1,16,11.2503005005,stimulus,
AG,AG040,B1,16,1,16,11.9169174004,tap,rctrl
AG,AG040,B1,17,1,17,12.0003179004,stimulus,
AG,AG040,B1,17,1,17,12.7009194000,tap,lctrl
AG,AG040,B1,18,1,18,12.7503330000,stimulus,
AG,AG040,B1,18,1,18,13.3569267001,tap,lctrl
AG,AG040,B1,19,1,19,13.5003494006,stimulus,
AG,AG040,B1,19,1,19,14.2209309004,tap,lctrl
AG,AG040,B1,20,1,20,14.2503551999,stimulus,
AG,AG040,B1,20,1,20,14.9409515997,tap,lctrl
AG,AG040,B1,21,1,21,15.0003704000,stimulus,
AG,AG040,B1,21,1,21,15.6609377004,tap,lctrl
AG,AG040,B1,22,1,22,15.7503968002,stimulus,
AG,AG040,B1,22,1,22,16.3809219999,tap,lctrl
AG,AG040,B1,23,1,23,16.5004221005,stimulus,
AG,AG040,B1,23,1,23,17.0689677000,tap,lctrl
AG,AG040,B1,24,1,24,17.2504543997,stimulus,
AG,AG040,B1,24,1,24,17.8849652000,tap,rctrl
AG,AG040,B1,25,1,25,18.0004321998,stimulus,
AG,AG040,B1,25,1,25,18.6369272005,tap,rctrl
AG,AG040,B1,26,1,26,18.7504508002,stimulus,
AG,AG040,B1,26,1,26,19.3729704004,tap,lctrl
AG,AG040,B1,27,1,27,19.5004764004,stimulus,
AG,AG040,B1,27,1,27,20.1729119001,tap,rctrl
AG,AG040,B1,28,1,28,20.2504812004,stimulus,
AG,AG040,B1,28,1,28,20.8609798001,tap,rctrl
AG,AG040,B1,29,1,29,21.0004989002,stimulus,
AG,AG040,B1,29,1,29,21.6609859997,tap,rctrl
AG,AG040,B1,30,1,30,21.7505058004,stimulus,
AG,AG040,B1,30,1,30,22.4129240997,tap,lctrl
AG,AG040,B1,31,1,31,22.5005200002,stimulus,
AG,AG040,B1,31,1,31,23.2129108002,tap,rctrl
AG,AG040,B1,32,1,32,23.2505264003,stimulus,
AG,AG040,B1,32,1,32,23.9649414001,tap,lctrl
AG,AG040,B1,33,1,33,24.0005414998,stimulus,
AG,AG040,B1,33,1,33,24.6369188000,tap,rctrl
AG,AG040,B1,34,1,34,24.7505649002,stimulus,
AG,AG040,B1,34,1,34,25.3089334005,tap,rctrl
AG,AG040,B1,35,1,35,25.5005783001,stimulus,
AG,AG040,B1,35,1,35,26.0929719005,tap,rctrl
AG,AG040,B1,36,1,36,26.2506009005,stimulus,
AG,AG040,B1,36,1,36,26.7329243002,tap,lctrl
AG,AG040,B1,37,1,37,27.0006333003,stimulus,
AG,AG040,B1,37,1,37,27.5969265001,tap,rctrl
AG,AG040,B1,38,1,38,27.7506351005,stimulus,
AG,AG040,B1,38,1,38,28.4609567001,tap,lctrl
AG,AG040,B1,39,1,39,28.5006343005,stimulus,
AG,AG040,B1,40,1,40,29.2506629005,stimulus,
AG,AG040,B1,40,1,40,29.2609175006,tap,rctrl
AG,AG040,B1,40,1,40,29.9969270006,tap,lctrl
AG,AG040,B1,41,1,41,30.0006696004,stimulus,
AG,AG040,B1,41,1,41,30.7169468002,tap,rctrl
AG,AG040,B1,42,1,42,30.7506868998,stimulus,
AG,AG040,B1,42,1,42,31.3569157999,tap,lctrl
AG,AG040,B1,43,1,43,31.5007121004,stimulus,
AG,AG040,B1,43,1,43,32.1889351998,tap,lctrl
AG,AG040,B1,44,1,44,32.2507249005,stimulus,
AG,AG040,B1,44,1,44,32.8929778999,tap,lctrl
AG,AG040,B1,45,1,45,33.0007380005,stimulus,
AG,AG040,B1,45,1,45,33.6289808005,tap,lctrl
AG,AG040,B1,46,1,46,33.7507512998,stimulus,
AG,AG040,B1,46,1,46,34.3489596006,tap,rctrl
AG,AG040,B1,47,1,47,34.5007677004,stimulus,
AG,AG040,B1,47,1,47,35.1648860006,tap,lctrl
AG,AG040,B1,48,1,48,35.2507758997,stimulus,
AG,AG040,B1,48,1,48,35.8689114004,tap,rctrl
AG,AG040,B1,49,1,49,36.0007939003,stimulus,
AG,AG040,B1,49,1,49,36.6529093003,tap,lctrl
AG,AG040,B1,50,1,50,36.7508107005,stimulus,
AG,AG040,B1,50,1,50,37.3729169006,tap,rctrl
AG,AG040,B1,51,1,51,37.5010230001,stimulus,
AG,AG040,B1,51,1,51,38.1889319001,tap,lctrl
AG,AG040,B1,52,1,52,38.2510307003,stimulus,
AG,AG040,B1,52,1,52,38.9249715004,tap,lctrl
AG,AG040,B1,53,1,53,39.0010511000,stimulus,
AG,AG040,B1,53,1,53,39.6769169997,tap,lctrl
AG,AG040,B1,54,1,54,39.7510721004,stimulus,
AG,AG040,B1,54,1,54,40.4769144002,tap,rctrl
AG,AG040,B1,55,1,55,40.5010767002,stimulus,
AG,AG040,B1,56,1,56,41.2510986999,stimulus,
AG,AG040,B1,56,1,56,41.2769156005,tap,rctrl
AG,AG040,B1,56,1,56,41.9649037002,tap,lctrl
AG,AG040,B1,57,1,57,42.0011115000,stimulus,
AG,AG040,B1,57,1,57,42.6849662000,tap,lctrl
AG,AG040,B1,58,1,58,42.7511195000,stimulus,
AG,AG040,B1,58,1,58,43.3729269998,tap,rctrl
AG,AG040,B1,59,1,59,43.5011379002,stimulus,
AG,AG040,B1,59,1,59,44.1729103001,tap,lctrl
AG,AG040,B1,60,1,60,44.2511450006,stimulus,
AG,AG040,B1,61,1,61,45.0011729999,stimulus,
AG,AG040,B1,61,1,61,45.0050339997,tap,lctrl
AG,AG040,B1,61,1,61,45.5969465999,tap,lctrl
AG,AG040,B1,62,1,62,45.7511830004,stimulus,
AG,AG040,B1,62,1,62,46.3809094001,tap,rctrl
AG,AG040,B1,63,1,63,46.5011985004,stimulus,
AG,AG040,B1,63,1,63,47.1649114005,tap,rctrl
AG,AG040,B1,64,1,64,47.2512070006,stimulus,
AG,AG040,B1,64,1,64,47.9009378003,tap,lctrl
AG,AG040,B1,65,1,65,48.0012237998,stimulus,
AG,AG040,B1,65,1,65,48.6369067002,tap,rctrl
AG,AG040,B1,66,1,66,48.7512344997,stimulus,
AG,AG040,B1,66,1,66,49.4049529005,tap,lctrl
AG,AG040,B1,67,1,67,49.5012443997,stimulus,
AG,AG040,B1,67,1,67,50.1729645999,tap,lctrl
AG,AG040,B1,68,1,68,50.2512606001,stimulus,
AG,AG040,B1,68,1,68,50.8930299003,tap,rctrl
AG,AG040,B1,69,1,69,51.0012829006,stimulus,
AG,AG040,B1,69,1,69,51.6288852999,tap,rctrl
AG,AG040,B1,70,1,70,51.7512998004,stimulus,
AG,AG040,B1,70,1,70,52.3969668997,tap,lctrl
AG,AG040,B1,71,1,71,52.5013175998,stimulus,
AG,AG040,B1,71,1,71,53.1329437001,tap,lctrl
AG,AG040,B1,72,1,72,53.2513258001,stimulus,
AG,AG040,B1,72,1,72,53.9009172004,tap,lctrl
AG,AG040,B1,73,1,73,54.0013362002,stimulus,
AG,AG040,B1,73,1,73,54.6369048003,tap,lctrl
AG,AG040,B1,74,1,74,54.7513530999,stimulus,
AG,AG040,B1,74,1,74,55.3729213001,tap,rctrl
AG,AG040,B1,75,1,75,55.5013656998,stimulus,
AG,AG040,B1,75,1,75,56.1409509005,tap,rctrl
AG,AG040,B1,76,1,76,56.2513776002,stimulus,
AG,AG040,B1,76,1,76,56.8609247003,tap,lctrl
AG,AG040,B1,77,1,77,57.0013917005,stimulus,
AG,AG040,B1,77,1,77,57.6450593006,tap,rctrl
AG,AG040,B1,78,1,78,57.7514259005,stimulus,
AG,AG040,B1,78,1,78,58.3649313003,tap,lctrl
AG,AG040,B1,79,1,78,63.9841020005,probe1,2
AG,AG040,B1,79,1,78,70.3892550999,probe2,3
AG,AG040,B1,79,1,78,78.1280308003,probe3,3
AG,AG040,B1,80,2,1,78.8961457005,stimulus,
AG,AG040,B1,80,2,1,79.1169306003,tap,lctrl
AG,AG040,B1,81,2,2,79.6461188998,stimulus,
AG,AG040,B1,81,2,2,79.7570090005,tap,lctrl
AG,AG040,B1,81,2,2,80.3809459005,tap,lctrl
AG,AG040,B1,82,2,3,80.3961182004,stimulus,
AG,AG040,B1,82,2,3,81.1009259000,tap,lctrl
AG,AG040,B1,83,2,4,81.1461305004,stimulus,
AG,AG040,B1,84,2,5,81.8961573001,stimulus,
AG,AG040,B1,84,2,5,81.9169228002,tap,lctrl
AG,AG040,B1,84,2,5,82.5089031002,tap,lctrl
AG,AG040,B1,85,2,6,82.6461620005,stimulus,
AG,AG040,B1,85,2,6,83.3249188000,tap,lctrl
AG,AG040,B1,86,2,7,83.3961818004,stimulus,
AG,AG040,B1,86,2,7,84.1089468002,tap,lctrl
AG,AG040,B1,87,2,8,84.1461966997,stimulus,
AG,AG040,B1,87,2,8,84.8449136000,tap,lctrl
AG,AG040,B1,88,2,9,84.8962161997,stimulus,
AG,AG040,B1,88,2,9,85.5809144005,tap,lctrl
AG,AG040,B1,89,2,10,85.6462300001,stimulus,
AG,AG040,B1,89,2,10,86.3809599001,tap,rctrl
AG,AG040,B1,90,2,11,86.3962415000,stimulus,
AG,AG040,B1,90,2,11,87.0850000000,tap,rctrl
AG,AG040,B1,91,2,12,87.1462535001,stimulus,
AG,AG040,B1,91,2,12,87.8369163005,tap,rctrl
AG,AG040,B1,92,2,13,87.8962645000,stimulus,
AG,AG040,B1,92,2,13,88.5569104003,tap,rctrl
AG,AG040,B1,93,2,14,88.6462860005,stimulus,
AG,AG040,B1,93,2,14,89.2929969998,tap,rctrl
AG,AG040,B1,94,2,15,89.3963019997,stimulus,
AG,AG040,B1,94,2,15,90.0769109000,tap,lctrl
AG,AG040,B1,95,2,16,90.1463094000,stimulus,
AG,AG040,B1,95,2,16,90.8609065004,tap,rctrl
AG,AG040,B1,96,2,17,90.8963251999,stimulus,
AG,AG040,B1,96,2,17,91.5489527006,tap,lctrl
AG,AG040,B1,97,2,18,91.6463484997,stimulus,
AG,AG040,B1,97,2,18,92.3649139004,tap,rctrl
AG,AG040,B1,98,2,19,92.3963516997,stimulus,
AG,AG040,B1,98,2,19,93.0689192005,tap,lctrl
AG,AG040,B1,99,2,20,93.1463690000,stimulus,
AG,AG040,B1,99,2,20,93.8049245998,tap,rctrl
AG,AG040,B1,100,2,21,93.8963778997,stimulus,
AG,AG040,B1,100,2,21,94.5409142002,tap,rctrl
AG,AG040,B1,101,2,22,94.6463962998,stimulus,
AG,AG040,B1,101,2,22,95.3249847004,tap,rctrl
AG,AG040,B1,102,2,23,95.3964037001,stimulus,
AG,AG040,B1,102,2,23,96.0449876003,tap,lctrl
AG,AG040,B1,103,2,24,96.1464296002,stimulus,
AG,AG040,B1,103,2,24,96.8449068004,tap,rctrl
AG,AG040,B1,104,2,25,96.8964339001,stimulus,
AG,AG040,B1,104,2,25,97.5329279006,tap,lctrl
AG,AG040,B1,105,2,26,97.6464574002,stimulus,
AG,AG040,B1,105,2,26,98.3649367997,tap,rctrl
AG,AG040,B1,106,2,27,98.3964621006,stimulus,
AG,AG040,B1,107,2,28,99.1464966005,stimulus,
AG,AG040,B1,107,2,28,99.1489500999,tap,rctrl
AG,AG040,B1,108,2,29,99.8965081004,stimulus,
AG,AG040,B1,108,2,29,99.9168891003,tap,rctrl
AG,AG040,B1,108,2,29,100.5569169000,tap,lctrl
AG,AG040,B1,109,2,30,100.6465148004,stimulus,
AG,AG040,B1,109,2,30,101.3889567005,tap,rctrl
AG,AG040,B1,110,2,31,101.3965204004,stimulus,
AG,AG040,B1,110,2,31,102.1249090005,tap,rctrl
AG,AG040,B1,111,2,32,102.1465357998,stimulus,
AG,AG040,B1,111,2,32,102.8609613003,tap,rctrl
AG,AG040,B1,112,2,33,102.8965485999,stimulus,
AG,AG040,B1,112,2,33,103.6128935004,tap,rctrl
AG,AG040,B1,113,2,34,103.6465576999,stimulus,
AG,AG040,B1,113,2,34,104.3489179006,tap,lctrl
AG,AG040,B1,114,2,35,104.3965731002,stimulus,
AG,AG040,B1,115,2,36,105.1466014003,stimulus,
AG,AG040,B1,115,2,36,105.1969740000,tap,lctrl
AG,AG040,B1,116,2,37,105.8966233004,stimulus,
AG,AG040,B1,116,2,37,105.9328912999,tap,lctrl
AG,AG040,B1,117,2,38,106.6466375003,stimulus,
AG,AG040,B1,117,2,38,106.6689301999,tap,lctrl
AG,AG040,B1,117,2,38,107.3889306998,tap,rctrl
AG,AG040,B1,118,2,39,107.3966393005,stimulus,
AG,AG040,B1,119,2,40,108.1466652006,stimulus,
AG,AG040,B1,119,2,40,108.2369347997,tap,lctrl
AG,AG040,B1,120,2,41,108.8966834005,stimulus,
AG,AG040,B1,120,2,41,108.9569800003,tap,rctrl
